Effect	EffectContext fields used
LGPStarBurstEffect	audio, brightness, deltaTimeMs, fadeAmount, gHue, ledCount, leds, palette, speed
LGPStarBurstNarrativeEffect	audio, brightness, deltaTimeMs, gHue, ledCount, leds, palette, speed
LGPTimeCrystalEffect	brightness, gHue, ledCount, leds, palette, speed
LGPWaveCollisionEffect	audio, brightness, deltaTimeMs, fadeAmount, gHue, ledCount, leds, mood, palette, speed
ModalResonanceEffect	brightness, gHue, getDistanceFromCenter, ledCount, leds, palette, speed
OceanEffect	ledCount, leds, speed
PlasmaEffect	gHue, ledCount, leds, palette, speed
PulseEffect	frameNumber, gHue, ledCount, leds, palette, speed
RippleEffect	audio, gHue, palette, speed
SinelonEffect	fadeAmount, gHue, ledCount, leds, palette
WaveAmbientEffect	audio, ledCount, leds, palette, speed
WaveEffect	audio, ledCount, leds, palette, speed
WaveReactiveEffect	audio, ledCount, leds, palette, speed
